customer_id,first_name,last_name,birth_date,gender,email,phone_number,region,risk_score
28,Bryan,Wall,1970-12-19,F,gateskathy@example.com,805.946.6889x3734,Northeast,1.92
29,Anthony,Rogers,1990-09-05,M,dramsey@example.org,+1-280-669-9016x272,Midwest,2.6
30,Nicholas,Lewis,1966-09-14,M,kathleen64@example.com,517-208-0531x003,Southeast,4.65
31,Christine,Allen,1976-09-08,Other,elliottjeffery@example.net,852-899-1241x904,Midwest,1.85
32,Shelly,Gonzalez,1984-10-02,F,curtisbarton@example.net,+1-819-905-8651x850,Southwest,4.54
33,Daniel,Yu,1987-09-18,Other,bzimmerman@example.org,001-684-998-7769x4531,Southwest,1.57
34,John,Marshall,1985-12-29,M,frogers@example.com,(273)554-5494,Southeast,3.98
35,Christopher,Cortez,1977-09-16,Other,hannahbrewer@example.com,701.843.6349x578,Midwest,3.99
36,Wendy,Pierce,1968-05-27,F,qnelson@example.org,635-618-2337,West,2.6
37,Tina,Wall,1964-08-15,M,michaelturner@example.net,+1-324-200-8427,Southeast,3.04
38,Audrey,Harrison,1974-06-08,M,jack04@example.com,616-371-9022,Northeast,4.44
39,Victoria,Wilson,1996-06-25,M,yobrien@example.net,286.377.4964,Southeast,4.17
40,Stacey,Clark,1958-10-28,F,donna23@example.org,+1-212-506-7974,West,1.25
41,Keith,Campbell,2002-12-16,F,ojones@example.com,+1-693-661-8324x2102,West,4.98
42,Scott,Harrison,1965-02-26,Other,gbender@example.net,271.690.6594x0139,Midwest,4.88
43,Barbara,Hines,1956-05-20,M,cstone@example.com,(796)371-7565,Northeast,3.73
44,Mia,Rivera,1991-09-01,Other,zroberts@example.net,2719545168,Midwest,4.07
45,Robert,Lopez,1969-01-30,F,wgarrett@example.org,548.424.7710,Northeast,2.17
46,Lance,Smith,1972-03-23,M,walkermaureen@example.org,412.874.8467x737,Southwest,1.01
47,James,Greene,1995-04-01,Other,michellehill@example.com,784-804-4997x27875,Midwest,4.89
48,Stanley,Morris,1957-04-19,M,ashleyhall@example.com,7573662702,West,4.65
49,Morgan,Alexander,1980-04-02,Other,jsmith@example.com,+1-921-274-5961x5865,Midwest,4.37
50,Christina,Young,1991-01-13,Other,wendy16@example.org,001-517-824-0050x45562,West,1.8
51,Ashlee,Sparks,1956-01-11,F,christianpitts@example.net,+1-437-392-3747x40748,Southeast,3.16
52,Scott,Reed,1984-06-12,Other,danielle64@example.com,836-671-3695x9440,Northeast,3.4
53,Alan,Grimes,1997-06-05,F,lozanojulie@example.com,001-739-453-3942x10470,Northeast,1.45
54,Christopher,Phillips,1995-04-30,F,ithompson@example.net,(488)542-4745x171,Midwest,1.96
55,Michelle,Ramsey,1971-07-04,M,christopher60@example.com,+1-517-954-9651,West,4.79
56,Angel,Henson,1982-08-31,M,rose31@example.net,446.812.0047x113,Southwest,4.26
57,Shawn,Santiago,1995-01-12,Other,umatthews@example.org,(717)796-4053x77351,Southeast,1.51
58,Bruce,Hill,1952-10-10,F,ndavis@example.net,+1-590-505-3293x1839,West,1.66
59,Mark,Hernandez,2005-09-28,Other,ramireztracey@example.org,+1-742-210-2053,West,2.69
60,Grant,Williams,1994-12-08,M,vfox@example.org,975.289.1783x9084,West,4.02
61,Bruce,Mendoza,1971-10-17,Other,fparks@example.net,711.859.2124x998,Southeast,3.85
62,Virginia,Schmidt,1975-05-04,F,sgarcia@example.org,+1-883-767-3657x6615,Midwest,2.75
63,Elizabeth,Brooks,1954-11-06,Other,fjones@example.org,(215)628-0988x51656,Southwest,1.48
64,Caroline,Bell,1983-10-16,M,ericolson@example.org,(285)614-9368x998,Northeast,2.35
65,Anthony,Nelson,1996-05-05,Other,sandra50@example.org,(896)812-0183,West,1.92
66,Shawn,Moore,1965-09-01,M,kimberly99@example.org,9229901476,Northeast,1.28
67,Robert,Lewis,1979-04-30,Other,reeddaniel@example.net,+1-497-684-0369x00343,Northeast,1.92
68,Keith,Wilson,1978-04-23,M,ythompson@example.net,001-738-885-1606x071,Midwest,1.28
69,Ashley,Mckinney,1972-11-19,M,darius05@example.org,+1-875-616-1369x681,Midwest,3.68
70,Julie,Walker,1997-06-25,M,charlesschultz@example.net,435.952.3124x32921,West,1.53
71,Steven,Elliott,1983-11-23,Other,kmaldonado@example.net,+1-795-352-7177x4490,West,2.89
72,Lance,Hayes,1948-05-02,F,marie11@example.net,+1-986-479-8079x359,Southwest,1.76
73,Susan,Hayes,1999-08-25,M,toni18@example.net,(703)777-8892,Southwest,2.42
74,Samantha,Hughes,1997-03-01,F,erika05@example.org,818-464-4925x19254,Southwest,4.46
75,Brooke,Hurley,1965-07-12,M,vschneider@example.org,+1-581-468-5054x23573,Northeast,1.24
76,Eric,Phillips,1998-02-03,Other,romeroamber@example.net,805.792.9622x29270,Midwest,4.2
77,Erica,Young,1974-09-09,M,karen73@example.net,847.835.9774,Southeast,1.77
78,Tammy,Montoya,1998-12-27,Other,moniquewilliams@example.com,(881)381-4124x782,Southwest,1.56
79,Stacey,Walker,1975-02-28,M,sarah60@example.com,653.961.5305x15220,Midwest,2.85
80,Heather,Taylor,1992-06-22,M,awest@example.org,6435289861,Southwest,4.23
81,Kevin,Williams,1973-01-11,Other,fbrown@example.net,+1-708-593-2460,Northeast,1.2
82,Ashley,Lopez,1989-12-07,Other,millsmichael@example.net,+1-788-680-6706,Northeast,4.88
83,Julie,Kelly,1949-01-22,M,john19@example.net,001-252-605-8527x72217,Southeast,2.63
84,James,Moody,2004-09-27,F,stewartkyle@example.com,+1-674-303-4505,Southeast,4.46
85,Lauren,Kim,1971-09-07,M,ykline@example.com,(877)458-4161,Southeast,2.52
86,Amy,Morris,1949-11-29,F,donna47@example.net,001-362-875-7059x640,Midwest,4.71
87,Michael,Owen,1990-09-11,F,stephaniethomas@example.net,+1-770-721-3556x90927,Midwest,2.69
88,Scott,Jones,1953-10-31,Other,raymond43@example.org,9275868144,West,3.65
89,Wendy,Mitchell,2006-10-30,F,igonzalez@example.org,427.715.5188x442,Southeast,1.76
90,William,Martinez,1958-02-20,M,joelsnyder@example.com,+1-695-878-2911,Northeast,3.32
91,Yvonne,Higgins,1980-03-27,Other,khammond@example.org,(451)477-8528,Northeast,3.99
92,Ryan,Bartlett,1948-03-26,M,holmeskevin@example.org,335-484-1438x42498,Northeast,3.34
93,Brittany,Carpenter,1956-02-11,Other,megan90@example.org,909-643-9690,West,1.63
94,Dawn,Turner,1961-02-15,Other,eevans@example.net,4277677359,Northeast,4.41
95,Michelle,Flores,2003-01-14,M,theresa25@example.net,+1-415-337-1473,West,1.27
96,Brent,Dougherty,2003-04-08,M,kwright@example.com,001-953-227-8774,Southwest,1.48
97,Christopher,Long,1975-07-30,Other,jasongomez@example.org,779-274-8016x2456,Southeast,3.32
98,Richard,Hudson,1957-09-16,M,angela16@example.net,784.499.1216x558,West,1.33
99,James,Hicks,1978-06-29,Other,williamsderrick@example.com,687.729.8259x5269,West,3.26
100,William,Hicks,1977-10-18,F,thomas05@example.com,+1-916-494-0974x99309,Midwest,1.82
101,Alexandria,Griffith,1997-03-04,Other,rhernandez@example.org,8915307562,Midwest,1.95
102,Robert,Hampton,2007-02-07,F,vsalas@example.net,7284385786,Southeast,3.69
103,Steve,Patel,1981-08-20,F,erica49@example.com,934.784.3443,Southwest,2.26
104,Timothy,Castro,1998-08-03,M,keith98@example.com,(652)640-4157x4733,Northeast,2.83
105,Derrick,Gilbert,1984-05-24,Other,johnsantiago@example.net,230.416.5712,Northeast,1.29
106,Richard,Donovan,2004-03-27,M,mwoods@example.com,440-619-3802x62067,West,2.06
107,Nancy,Smith,1983-02-10,F,hebertmatthew@example.com,+1-688-472-8743x1527,Northeast,4.52
108,Alexis,Rogers,1964-07-15,F,gregorychase@example.com,(585)916-1227x53046,Midwest,1.63
109,Karen,Finley,1965-01-03,Other,greenmichael@example.org,6177426841,Midwest,3.45
110,Christina,Robinson,1953-07-20,Other,vhernandez@example.net,(768)378-3391x878,West,1.03
111,Samantha,Rodriguez,2000-11-10,Other,ashleyhernandez@example.com,971.239.7187x07286,Midwest,4.73
112,Angelica,Chambers,1965-06-07,M,fosterlisa@example.net,391.906.5180,Southeast,2.06
113,Anthony,Ortiz,1996-10-15,M,katiegood@example.net,(456)576-6182x51286,West,1.62
114,Mary,Avila,1964-10-06,F,inunez@example.com,+1-363-237-5243,West,1.84
115,Lisa,Barnes,1996-08-04,F,allencarlos@example.net,5792030673,Southeast,3.75
116,Donald,Holder,1960-05-25,F,barbara53@example.com,(483)864-4089,West,2.95
117,Angela,Williams,1967-11-25,M,ufloyd@example.net,(862)846-2873x34270,Northeast,3.54
118,Angela,Anderson,1960-12-27,F,james17@example.com,383-504-6990,Northeast,1.01
119,Linda,Matthews,1990-02-25,M,timothybooth@example.com,603-831-7393x6385,Midwest,1.65
120,Steven,Wong,1965-06-13,F,michael77@example.org,001-875-635-5609x3204,West,3.82
121,Elijah,Rivera,1970-04-23,Other,victorpena@example.net,247-377-2522x87280,Northeast,1.45
122,Sierra,Barnett,1996-06-22,Other,gutierrezmegan@example.org,920-938-7509,Southeast,3.18
123,Alfred,Patel,1972-06-14,F,smithjennifer@example.net,608-762-1182x3398,West,3.21
124,Joseph,Sanders,1969-11-06,F,pstevens@example.net,941.201.6668,Southeast,1.17
125,Dana,Warner,1950-02-02,F,pbruce@example.com,001-218-303-3974,Northeast,4.6
126,Gabrielle,Ramirez,1981-06-01,M,whitemelissa@example.org,892.761.4293,Southeast,3.67
127,Patrick,Singh,1998-04-03,F,masonterri@example.org,763-215-9996,West,4.54
128,Cynthia,Bowers,1975-02-14,F,jperez@example.com,(829)761-9431x14262,West,4.0
129,Michael,Davis,1965-06-10,M,rward@example.org,(312)267-8886,Southeast,4.9
130,Christopher,Spencer,1985-01-30,M,michelle04@example.com,(918)439-8262x2444,Southwest,1.1
131,Bryan,Hamilton,1973-02-12,Other,todd15@example.com,279.893.7124,Midwest,4.13
132,Martin,Oliver,1999-03-07,F,scott69@example.org,759-837-5265x4793,Southeast,2.07
133,Juan,Hartman,1969-04-20,Other,frederickjames@example.net,(980)473-7416,Northeast,2.53
134,Cynthia,Allen,1989-04-14,M,jennifermccormick@example.org,397.396.8868x058,Southwest,1.89
135,Kayla,Sandoval,1968-08-14,F,deborahwilliams@example.net,+1-565-961-0143x88899,Midwest,2.22
136,Neil,Ford,1990-09-15,M,michaeljohnson@example.org,961-312-5457x3875,Southeast,1.09
137,Samuel,Horton,1966-03-01,M,evanslisa@example.org,7518238282,Southwest,2.31
138,Susan,Hall,1972-01-10,M,jacobsandoval@example.com,5936796603,Midwest,2.4
139,Karen,Stokes,1948-09-20,Other,lloydamanda@example.com,737-714-7859x69691,Southwest,3.72
140,Megan,Williamson,1999-11-02,Other,samantha91@example.net,(851)834-1252,Midwest,4.76
141,Candace,Andrews,1973-04-01,M,tommymedina@example.net,(282)774-2257,Midwest,1.71
142,Stephanie,Washington,1957-09-27,F,gmaynard@example.net,667.567.7219x0340,Northeast,1.43
143,Amanda,Jackson,1975-08-01,F,hdunn@example.net,848-358-0783,Midwest,3.91
144,Jill,Valdez,1961-04-22,F,nancy07@example.com,(417)513-3959x629,Southwest,3.42
145,Lisa,Trujillo,1983-04-04,Other,amanda98@example.org,444-794-8126x04223,Northeast,2.54
146,Maria,Juarez,1990-06-24,Other,kburns@example.net,766-271-1684x577,Southeast,2.02
147,Misty,Boone,1950-10-20,Other,sreid@example.com,686-736-3745,Southwest,1.01
148,Amy,Anderson,2002-06-21,Other,rkramer@example.org,8175012770,Southeast,2.46
149,Wendy,Blankenship,2004-06-28,M,erik41@example.net,(241)552-0643x611,Midwest,3.49
150,Thomas,Anderson,1959-11-09,Other,ssmith@example.com,362-771-3611,Northeast,3.88
151,Michael,Evans,1970-07-04,F,darlenebyrd@example.org,390.492.7532x69731,West,2.24
152,Karen,Lawrence,1970-08-06,F,sylvia52@example.org,513-889-9940x438,Midwest,2.61
153,Kenneth,Brown,2005-07-25,F,troyrodriguez@example.com,+1-491-980-5526x9658,West,1.51
154,Stephanie,Townsend,1945-08-06,F,smithjason@example.org,(384)686-6618x8924,Southwest,3.71
155,Christian,Mccall,1999-06-14,M,amandamyers@example.net,001-614-463-0316x17990,West,3.28
156,David,Zimmerman,1992-03-13,F,martinstephanie@example.net,342.952.4105x64814,West,4.33
157,Spencer,Ward,1978-06-17,F,michaelscott@example.org,001-913-780-0030,Midwest,1.84
158,Patrick,Hernandez,2002-10-24,Other,tranrobin@example.net,+1-263-453-6541x9518,West,3.62
159,Jeffrey,Black,1947-08-03,F,djones@example.com,001-945-718-7053x49493,Southwest,2.77
160,Brittany,Snyder,1997-01-14,M,jessicapayne@example.org,(206)803-8505,West,2.89
161,Melinda,Acosta,1951-07-15,Other,alyssaallen@example.com,9243103865,Southeast,3.64
162,Beverly,Wagner,1987-10-29,F,kjones@example.org,(423)344-5655x74313,West,3.66
163,Eric,Martin,1976-03-05,Other,richard85@example.org,447.341.1249x035,Midwest,1.37
164,Jennifer,Schmitt,1971-06-05,M,byrdjorge@example.org,4673883171,Midwest,1.9
165,Alexander,Greer,1959-08-04,M,jamesmorales@example.net,+1-319-294-1013x7215,Southeast,1.1
166,Sheri,Williams,2007-05-08,M,zunderwood@example.com,9664253244,Southwest,3.45
167,Austin,Harvey,1961-03-10,M,victor87@example.org,246-826-3838,Southwest,2.66
168,Kimberly,Howard,1981-07-08,Other,kcooper@example.net,564-420-5930x40785,West,1.78
169,Craig,Sandoval,1962-08-07,Other,gallagherstacie@example.net,(452)523-9559x0599,Southwest,2.98
170,Mary,Cochran,1977-12-16,M,gregory01@example.org,593.408.7059,Southeast,3.62
171,Matthew,Thompson,1999-01-25,M,brian29@example.net,(718)651-5691,Northeast,4.11
172,Marcus,Daugherty,1994-04-19,M,fconner@example.net,828-295-3926x44220,Southeast,4.22
173,Ian,Flores,1999-07-03,Other,daniellegarcia@example.com,(951)235-5215,West,2.86
174,Joseph,Wright,1949-01-28,Other,jonathan10@example.org,(576)426-7658x6179,Southeast,4.67
175,Shannon,Lloyd,1946-09-26,M,andrew41@example.org,826-421-8159x97062,Southwest,1.53
176,Brian,Rivera,1957-05-23,F,uterry@example.net,+1-944-443-1069,West,4.95
177,Brian,Smith,1950-06-05,Other,madison97@example.org,803-924-1714,Midwest,4.8
178,Tracy,Guerrero,1950-08-31,F,ylopez@example.com,(270)447-7434,West,4.26
179,Karen,Contreras,1950-04-18,Other,lindsey69@example.org,+1-906-686-8793,Southwest,4.32
180,Christian,Orr,1993-01-26,Other,shawrachel@example.net,+1-592-417-2233x20616,Southwest,4.59
181,Mary,Scott,2006-06-11,Other,millerangela@example.net,348-370-9986x16229,Southwest,2.8
182,Anna,Garcia,1963-12-06,M,natalie46@example.net,899.770.2462x9960,Midwest,4.06
183,Hannah,Williams,1976-10-19,Other,penny05@example.com,547-913-2475x4691,Southwest,3.51
184,Jason,Holloway,1994-11-19,F,xmalone@example.org,521.248.6289x02330,Southwest,1.31
185,Stephen,Hull,1992-05-30,F,joshuacolon@example.net,(710)435-7972x7985,Southeast,2.09
186,Mary,Green,2001-01-01,F,mitchellpaul@example.org,001-233-933-4680,West,1.32
187,Rhonda,Holland,1985-05-15,M,walkercharlene@example.com,001-846-365-7437x489,Southeast,2.53
188,Adrian,Key,2001-11-05,M,anna99@example.com,517-215-4544x4328,Southeast,1.26
189,Linda,Lang,1985-04-17,F,rguerrero@example.org,001-507-944-6660x9935,Midwest,3.17
190,Rebecca,Powers,1978-12-26,F,megan82@example.com,772-548-2513,Northeast,1.83
191,Julie,Parker,1998-02-03,F,nathan94@example.com,370-899-9173,Southwest,4.62
192,Alyssa,Gutierrez,2003-09-22,Other,derrickgonzalez@example.com,001-772-252-1752,Northeast,4.43
193,Adam,Hill,1996-04-05,Other,barbaramoore@example.org,(296)566-6760,Southwest,2.91
194,Jessica,Dodson,2005-02-28,F,katherine83@example.org,+1-203-635-4216x89421,Midwest,4.01
195,Stacy,Bryant,1979-11-13,F,ryan25@example.com,(432)360-3323x098,West,3.99
196,Michael,Santos,1947-01-02,Other,qmcdowell@example.net,+1-609-901-0016x761,West,4.59
197,Jacqueline,Harris,1991-02-16,F,turnerdorothy@example.net,549.592.6189x14117,Southeast,2.09
198,Kimberly,Decker,1958-03-09,F,jade42@example.org,+1-373-975-3001,Northeast,2.56
199,Edward,Davis,1979-04-14,Other,cummingscraig@example.com,+1-837-344-7012x0455,Southwest,3.9
200,Cody,Chang,1947-08-02,F,christianelizabeth@example.org,857-994-1552x16674,Southeast,4.92
201,Lauren,Banks,1998-09-10,Other,danielhorton@example.org,(816)797-9729,Northeast,4.63
202,Cheryl,Huffman,2004-05-05,Other,timothyfreeman@example.com,301.845.0899x358,West,3.65
203,Dorothy,Wright,1967-12-28,M,jhernandez@example.net,7025877217,Southwest,1.54
204,Mark,Ramirez,1978-12-16,F,andreagray@example.org,377-997-1775,Southeast,1.2
205,Julie,Smith,1971-12-01,F,jjohnson@example.org,799-248-8375,Midwest,1.85
206,Lisa,Richard,1967-01-20,F,xmoran@example.net,211.430.5548x851,Midwest,4.04
207,Travis,Underwood,1994-12-28,F,nrodriguez@example.org,216.337.3516,Midwest,4.01
208,Kelsey,Hayes,1989-04-09,F,tamarasmith@example.net,4863978292,Midwest,4.34
209,Paul,Burke,2004-07-12,F,william66@example.net,001-634-765-4722x698,Northeast,4.0
210,Jennifer,Walls,1987-07-05,M,jamesweber@example.com,+1-652-828-8515x87996,Midwest,1.9
211,Lindsey,Mills,1946-03-08,M,qthomas@example.org,242.744.2043,Northeast,4.02
212,Lisa,Garcia,2003-07-14,M,juliahoffman@example.org,540.766.6580x04397,Southeast,4.36
213,Kari,Payne,1985-07-10,Other,kimberlybrandt@example.com,621.422.8160x648,Southeast,1.95
214,Eugene,Singleton,1944-11-05,F,steven20@example.org,390-494-7985x15832,Northeast,3.26
215,Robert,Herrera,1950-09-20,M,jeffrey35@example.com,(543)298-7801x573,Southwest,3.8
216,Felicia,Flores,2006-10-16,F,cruzamber@example.com,5857887704,Southeast,3.42
217,Willie,Vaughan,1955-11-08,Other,simsjason@example.net,001-336-213-8612x07501,Northeast,4.11
218,Gregory,King,1949-04-03,M,rhondarussell@example.com,+1-366-750-6180x9190,Midwest,1.43
219,Sarah,Rodriguez,1998-01-04,M,catherine47@example.com,(207)428-3268x4245,Midwest,3.3
220,David,Smith,1985-01-23,F,fmedina@example.com,653.568.2223,Southwest,4.77
221,Danny,Lambert,1983-01-25,M,yorksarah@example.net,481.541.4139x755,Northeast,3.37
222,Craig,Harvey,2005-09-18,Other,louishayes@example.net,+1-849-629-9556x20533,Southeast,1.41
223,Mary,Taylor,1994-05-05,F,natalie77@example.com,001-347-281-2914x28341,West,4.22
224,Melissa,Welch,1999-10-06,Other,nhammond@example.org,+1-648-487-2563,Northeast,2.39
225,Steven,Dixon,1971-06-19,F,wayne39@example.net,(982)772-2992,Midwest,1.28
226,Billy,Juarez,1960-03-26,Other,bakerjim@example.net,385.667.7005,Midwest,1.05
227,Mary,Baker,1981-07-03,F,nicholasgray@example.net,+1-218-446-3865x5779,Southwest,1.42
228,Scott,Hall,1979-06-23,F,jason22@example.com,+1-813-265-1777x392,Southwest,3.83
229,John,Anderson,1984-10-08,F,dennishunt@example.net,(202)642-8699,Southeast,3.94
230,Stacey,Robinson,1985-09-26,Other,kdillon@example.org,(592)892-9842x57991,Midwest,3.46
231,Paul,Rodriguez,1958-03-26,Other,mserrano@example.org,(979)490-8811,Southwest,2.86
232,Rachel,Ryan,1944-07-17,Other,xboyd@example.org,001-686-937-6599x162,West,2.07
233,Katie,Kent,1950-03-02,M,carmen86@example.com,500.798.1806,Northeast,2.12
234,Robert,Rodriguez,1973-06-16,F,jose86@example.net,(994)663-6887x258,Southeast,4.0
235,Vanessa,Lane,1997-02-22,Other,qfitzgerald@example.org,001-837-221-3865x8902,West,3.67
236,Linda,Morrow,1976-07-23,F,qdavis@example.org,(919)906-6984x902,Northeast,2.98
237,Alex,Jefferson,1999-03-03,F,james98@example.net,001-739-820-5302x146,Southeast,2.95
238,Richard,Gonzalez,1945-07-04,F,calhounandrea@example.net,+1-895-254-3937,Midwest,2.36
239,Jose,Russell,1951-09-16,Other,gordonmatthew@example.org,248.994.7697x35779,Midwest,3.22
240,Darren,Jones,1987-08-01,Other,ericahall@example.com,(958)780-4341x65182,Southeast,1.34
241,Michael,Shannon,1962-10-09,Other,staceyvega@example.org,333.334.3333x9521,Southwest,2.95
242,Emma,Alvarado,1986-03-26,M,duranamber@example.org,459.257.9472x8463,Southwest,3.58
243,Alicia,Henderson,1981-04-05,F,shawphillip@example.net,001-727-618-7500x36915,Southwest,4.17
244,Jacob,Baker,1962-10-18,M,vmullen@example.com,(976)436-5564,Midwest,1.89
245,Ashley,Krause,1991-02-22,Other,lisale@example.org,+1-866-932-2702,Southeast,2.22
246,Dennis,Barry,1987-05-18,Other,kristen44@example.net,001-306-912-0347,Midwest,2.89
247,Julie,Green,1968-12-24,Other,maurice61@example.com,+1-893-699-8245x58771,Midwest,2.7
248,Steven,Frye,2003-07-19,Other,daniellemcfarland@example.com,+1-899-661-1253x5544,West,2.32
249,Pam,Norman,1969-03-05,Other,lgutierrez@example.org,(334)913-2611,Southwest,2.08
250,Amy,Johnson,1971-06-24,F,garciachristine@example.org,+1-764-733-4722x8200,Southeast,1.48
251,Michelle,Mcdonald,2003-09-23,M,amy28@example.org,001-997-596-8845,Midwest,1.48
252,Linda,Ramos,1969-05-09,Other,tgreen@example.org,9826547807,Southeast,1.77
253,Albert,Jordan,1964-05-24,Other,laurakelley@example.org,(686)663-2663x41638,Southwest,2.11
254,Deborah,Patel,1962-10-03,Other,elopez@example.org,(541)779-7497,West,3.39
255,Andrew,Williams,1980-11-12,M,lopezcurtis@example.com,(770)831-2073,Southeast,2.18
256,Larry,Lloyd,1969-09-26,F,cterry@example.com,520-646-1872,Southeast,2.21
257,Lisa,Clayton,1952-10-05,Other,paulproctor@example.org,001-303-671-8376x4520,West,1.51
258,Timothy,Evans,1968-12-27,M,boyerjeff@example.org,565.202.4916,Northeast,3.21
259,Tanya,Perkins,1991-06-20,Other,jbarker@example.com,001-413-927-1950x05281,Southeast,3.55
260,Jesse,Holden,1998-02-14,F,linda73@example.org,001-565-424-0778x487,Northeast,4.49
261,Amy,Morris,1976-05-03,Other,mikayla98@example.org,282-874-4857,Midwest,2.88
262,Jessica,Andrade,1986-08-20,F,kimberly35@example.net,686-738-7829,Midwest,1.74
263,Robert,Morris,1951-01-05,M,williamssharon@example.org,9316731096,Midwest,4.76
264,Brandon,Walker,1993-04-24,F,smithsamantha@example.net,317.605.8650x9480,Northeast,4.29
265,Christian,Lewis,1979-10-24,F,garciajerry@example.com,338.739.2886,Southwest,1.3
266,Emily,Park,1973-07-11,Other,jacksonhenry@example.com,552.589.7558x55665,Northeast,1.61
267,Nicholas,Pierce,1995-02-17,Other,michael77@example.com,6045908240,Midwest,1.34
268,Jason,Edwards,1996-12-18,M,samantha88@example.net,001-721-507-5224,Northeast,3.23
269,Jesse,Shepherd,1950-09-19,F,ncarroll@example.net,257-827-9194,West,3.38
270,Christian,Brown,1996-12-02,Other,michael66@example.org,001-539-406-0480x58925,Southeast,4.1
271,Brent,Dennis,1971-03-14,F,kmullins@example.net,936-246-2251,Southwest,4.63
272,Amy,Baker,1971-08-01,F,iayala@example.org,683.876.9389x8331,West,4.96
273,Marcus,Glass,1950-07-23,F,powersrodney@example.com,955.490.4259,West,3.48
274,Scott,Glass,1960-05-08,Other,ginamoore@example.net,310-639-2405,Northeast,4.79
275,Shannon,Johnson,1958-09-07,M,jamesmills@example.com,+1-679-420-6980,Southeast,2.06
276,Brian,Gonzalez,1991-11-11,M,brian01@example.com,+1-345-410-4636x81579,Southeast,1.96
277,James,Rasmussen,1982-08-13,Other,williamssandra@example.com,876-220-5554x38404,Northeast,1.63
278,Sherry,Avery,1959-10-24,F,matthewlong@example.org,868-693-6392,Southwest,3.76
279,Renee,Murphy,1981-05-12,F,jamietaylor@example.net,+1-332-448-2629x25188,Midwest,1.13
280,Lonnie,Hobbs,1993-12-09,F,cannonnicole@example.com,(547)542-3122x09949,Midwest,3.81
281,Jerry,Johnson,1949-11-14,F,manderson@example.com,001-252-667-7223x306,Northeast,3.75
282,Stephanie,Walker,1990-02-23,F,katherinejones@example.com,+1-275-373-6609x656,West,3.64
283,Shannon,Wilcox,1947-05-08,M,aprilfoster@example.net,6866803476,Southwest,1.46
284,Steven,Henderson,1986-03-09,M,vaughnrebecca@example.com,+1-271-481-2982x6657,Southeast,4.63
285,Shawn,Mosley,2005-06-03,M,nicoledavis@example.com,001-421-811-7518x689,Northeast,1.24
286,Andrea,Williams,1956-02-03,F,ariana22@example.org,(406)544-7421,West,4.0
287,Adam,Cannon,1945-04-17,Other,fjimenez@example.net,9973339776,Midwest,2.76
288,Carolyn,Smith,2004-06-29,F,christine83@example.org,(620)750-2099,Midwest,3.8
289,Samantha,Williams,1972-11-01,F,evanmitchell@example.net,001-799-882-7950x145,West,3.16
