customer_id,first_name,last_name,birth_date,gender,email,phone_number,region,risk_score,notes
39,Noah,Weber,2005-01-16,X,markhodge@example.com,538.857.3680x1192,Midwest,2.03,
40,Michelle,Harris,1972-07-10,Other,garciaveronica@example.net,323.633.5104x096,Southwest,,
1,Dawn,Wu,2005-03-28,F,claytonmclean@example.net,414-298-3074,Southeast,1.56,
1,Sara,Burns,1959-03-09,F,gclay@example.org,293.694.0655x78201,Southeast,4.67,
43,James,Short,1960-05-26,Other,,224.370.7392,Northeast,3.1,
44,Jessica,Ramsey,1969-05-30,X,mary62@example.net,427-860-2508,Northeast,4.06,
45,Daniel,Duran,"April 18th, 1992",M,hernandezdaniel@example.org,001-524-988-8995x729,Southeast,1.27,
46,Roger,Carr,1998-07-17,M,qramirez@example.net,303.464.6871,Southeast,3.02,Preferred customer
1,Rachel,Hall,1992-02-12,M,castroralph@example.net,001-220-382-8323,West,3.55,
1,John,Tran,1967-07-16,F,greenmartin@example.org,(406)973-2318,Southwest,1.06,
1,Charles,Le,1981-08-31,Other,rojasmarc@example.org,+1-345-500-0000x15291,Southwest,1.05,
50,Timothy,Trujillo,1974-05-02,Other,brian90@example.net,(455)361-8444,Midwest,3.14,Preferred customer
51,Amy,Hernandez,1989-12-05,M,hmitchell@example.org,(224)889-0567,West,,
52,Tanner,Williams,1947-10-15,F,,(551)858-4826x691,Southeast,1.43,
1,Edward,Adams,1959-12-20,Other,mike05@example.com,(596)508-0706,Southeast,1.96,
54,Robert,Chase,1982-06-14,Other,ymontgomery@example.org,001-298-622-1040x16481,Midwest,4.26,Preferred customer
55,Connie,Green,2002-10-11,X,amywells@example.org,636.438.1643x21269,Northeast,2.49,
56,Aimee,Brewer,1989-11-06,F,rickey20@example.org,(825)486-3144x17064,West,,
57,Michael,Christensen,1996-01-08,M,,955.882.4301,Midwest,3.74,
58,Kyle,Conner,2003-03-13,X,william88@example.org,001-231-753-8882x45279,Northeast,1.37,
59,Benjamin,Mcdaniel,1948-05-17,F,john33@example.com,384.395.1632,West,,
60,Cody,Greene,1980-04-09,X,ygriffith@example.org,+1-509-433-9137,Southeast,1.33,
61,Richard,Morris,1959-10-28,Other,,819-287-5617,Midwest,3.26,
62,Alex,Lopez,2000-04-14,Other,osbornanthony@example.org,661-382-9803x65774,Northeast,,
63,Susan,Velez,2006-11-04,Other,,(695)320-1491x189,Southwest,2.08,
1,Amber,Perez,1971-06-24,Other,bcooper@example.net,(463)322-3998,Midwest,4.6,
65,John,Hill,1967-06-11,Other,qjones@example.org,001-842-888-6050x537,Northeast,1.72,Preferred customer
66,Ryan,Gibbs,1947-08-14,M,wilsondavid@example.org,3302835669,Southeast,,
1,Paul,Cohen,1949-05-29,F,shelby31@example.org,001-934-855-0688x26917,Northeast,2.2,
68,Kathryn,Schneider,1954-03-02,X,traceyguerra@example.com,001-901-434-8087x3543,West,4.34,
69,Rick,Lewis,1988-05-12,Other,christina10@example.org,+1-457-209-0859x91449,West,,
70,Jennifer,Chavez,1961-10-31,M,richardharper@example.net,+1-669-496-4899x718,Northeast,3.0,Preferred customer
71,Amanda,Diaz,1970-08-07,M,,4845993231,Northeast,2.75,
1,Kelly,Thomas,1973-09-18,F,delliott@example.com,+1-508-672-6176x072,West,4.08,
73,Anna,Vang,1959-12-26,F,markbates@example.com,+1-838-728-0405x6129,Midwest,1.12,Preferred customer
1,Anthony,Ballard,1997-10-26,F,richardhines@example.net,+1-926-841-8696x56130,Southwest,1.91,
1,Corey,Rivas,2004-07-02,F,katieaguirre@example.com,001-551-643-4682,Southwest,1.74,
1,Melissa,Nelson,2005-08-21,Other,bondmarissa@example.org,530.308.6966x1016,Southwest,1.34,
77,Christopher,Lee,1986-02-06,F,,(480)594-1491x5076,Southeast,3.85,
78,Monica,Avery,1988-02-26,F,dsims@example.net,(234)940-7779x462,Southeast,,
79,Nicole,Barber,1996-05-19,M,,(608)217-7602x991,Southwest,2.27,
80,Ray,Warren,1980-10-08,X,carlos33@example.org,331.925.5235x617,Northeast,4.77,
81,Alex,Atkinson,2005-08-24,F,,9619363852,Midwest,1.41,
1,Amy,Bray,1970-01-18,M,leeseth@example.net,+1-244-449-0295,Southwest,2.8,
83,Michelle,Carter,1947-05-22,Other,,473.941.6781,Southwest,1.41,
1,Joyce,Porter,1979-05-26,F,rosejones@example.org,+1-717-998-2134x8629,West,1.37,
85,Kristen,Mcdaniel,1974-04-06,X,katherinedelacruz@example.org,+1-731-582-8560,Southwest,1.05,
1,Ashley,Cole,1994-09-26,F,vasquezjacqueline@example.net,001-266-717-7067x3682,Northeast,3.9,
87,Kathy,Bennett,1954-03-27,M,hopkinsgeorge@example.org,+1-855-421-6505x8714,West,,
88,Jessica,Mills,1996-11-12,F,charlesduncan@example.com,001-567-890-8984,Southeast,1.56,Preferred customer
89,Cindy,Weaver,"April 18th, 1992",F,bentondavid@example.org,309-338-6948x42495,Southwest,1.58,
90,Justin,Hayes,1981-08-06,X,wrivers@example.org,001-471-252-3867x673,Midwest,2.68,
91,Sarah,Hayes,"April 18th, 1992",M,stuartbryan@example.net,+1-477-498-7682x99687,Midwest,2.01,
92,Luke,Ray,"April 18th, 1992",Other,gibbsamanda@example.net,906.223.5040x56695,Southwest,3.38,
93,Anthony,Martinez,1963-06-28,F,,642-486-7963x259,Northeast,1.54,
94,Danielle,Walters,1953-07-09,X,kristine33@example.net,001-715-962-4152,Midwest,4.37,
95,Gregory,Landry,1970-12-09,F,tanyajackson@example.net,335.889.5138,Southwest,,
1,Mike,Johnson,1988-05-29,Other,ystone@example.net,309-357-4430x34918,Southeast,2.2,
97,Robin,George,"April 18th, 1992",Other,gonzalezmarissa@example.com,001-334-701-5364,Southeast,2.92,
98,Kelly,Rodriguez,2000-10-12,F,james32@example.com,+1-636-478-1367x500,Midwest,,
99,Heidi,Schneider,"April 18th, 1992",Other,stephanie10@example.com,(276)498-1987,Southwest,4.87,
100,Katherine,Smith,1969-01-10,X,jimmypalmer@example.net,001-956-922-5866x05986,Southwest,2.12,
101,Joshua,Huffman,"April 18th, 1992",F,gmccarthy@example.com,001-648-359-6559x4282,Northeast,4.73,
1,Tammy,Burnett,1973-08-05,Other,anthony00@example.org,(345)739-3132,West,1.72,
103,Miranda,Jones,"April 18th, 1992",M,matthew08@example.org,+1-968-421-4448x8966,Southwest,4.77,
104,Victor,Jefferson,1959-07-29,F,,001-546-420-2582x5431,Midwest,4.33,
105,Jasmine,Morton,1951-09-01,F,jamesbrown@example.org,+1-820-649-1060x183,Southwest,1.56,Preferred customer
106,Tracy,Harris,1982-01-28,M,icooper@example.org,001-676-981-7225x77545,Midwest,,
1,Derek,Moore,1983-05-02,F,nguyenchristine@example.net,001-376-983-1608x27172,Southwest,1.3,
1,Grace,Gonzalez,1998-01-12,F,sararios@example.org,8524229993,West,2.6,
109,Stephanie,Oconnor,1998-11-11,Other,diane91@example.net,738-682-3255x3983,Southwest,3.17,Preferred customer
110,Joseph,Martinez,1993-10-13,Other,,(964)330-9544,West,3.38,
111,Henry,Griffin,2000-08-05,M,ksmith@example.org,912.705.3978x713,Southeast,3.63,Preferred customer
112,Devon,Bean,2006-09-22,M,davidjohnson@example.net,001-912-956-0832x00487,West,,
113,Michael,Clark,1994-10-26,Other,elizabeth52@example.org,+1-786-300-3044x3619,Southwest,4.87,Preferred customer
114,Steve,Reed,2003-10-16,F,stephaniewiggins@example.net,602-592-9501,Northeast,1.04,Preferred customer
1,Timothy,Valdez,1994-06-22,M,brianmorrow@example.org,001-367-413-9719,West,3.99,
116,Raymond,Schultz,1994-04-04,Other,darrellmoore@example.net,001-876-372-0191x116,West,1.88,Preferred customer
1,David,White,1952-09-10,F,griffinjennifer@example.net,001-787-533-9304x9366,Southwest,4.09,
118,Amanda,Guerrero,1975-06-13,Other,,(711)240-8682,West,1.6,
119,Barbara,Nguyen,1953-08-16,F,,001-735-456-1039,Northeast,2.18,
120,Kimberly,Silva,2000-07-02,M,frankjeremy@example.com,724-836-5858,Southeast,2.39,Preferred customer
121,Kurt,Bradshaw,1958-11-21,F,greencharles@example.net,001-920-627-0615x92738,Southeast,3.08,Preferred customer
122,Bruce,George,1948-08-25,F,fhiggins@example.com,(290)563-2248x15542,Northeast,,
123,Jacqueline,Delacruz,1946-08-31,F,,(779)675-6491x5795,Midwest,1.27,
124,Ronald,Thompson,1961-03-17,Other,timothy12@example.com,260.810.8018x103,Northeast,1.09,Preferred customer
125,Angela,Garcia,"April 18th, 1992",Other,kathryn17@example.org,(780)280-8157x12901,Northeast,3.71,
1,Steven,Gonzalez,1947-05-09,Other,pchavez@example.org,835.410.4584x743,Southeast,3.06,
127,Danny,Gonzalez,1945-08-25,X,iwhite@example.net,+1-557-566-9470x31805,Midwest,3.24,
128,Catherine,Moore,"April 18th, 1992",M,bweeks@example.com,(821)859-1832x70004,Southwest,3.52,
129,Ronald,Collins,1966-12-10,Other,fischerlaura@example.org,397.671.4004x938,Southwest,,
130,Audrey,Edwards,1989-11-25,X,stewartgeorge@example.com,+1-598-309-4976x987,Southeast,2.8,
131,James,Garza,"April 18th, 1992",F,cervantespatrick@example.net,001-641-566-1237x4077,Northeast,3.82,
1,Jesus,Thompson,1966-05-25,F,vwhite@example.net,499.249.9197x01426,Northeast,3.31,
133,Jason,Williams,1975-10-25,X,danieljenkins@example.org,+1-904-418-1359x98989,Midwest,2.3,
134,Phyllis,Miller,1974-09-16,X,simonamanda@example.net,001-448-401-8644,Midwest,3.68,
1,Katherine,Hayes,2004-05-10,Other,alejandra39@example.com,957.308.2004x80675,Midwest,3.39,
136,Maria,White,1957-04-26,F,telliott@example.net,(411)928-7942x9688,West,1.46,Preferred customer
137,Jessica,Myers,1990-01-27,F,dbeck@example.com,3957314196,West,,
1,Ronald,Snyder,1982-01-06,Other,gregorymitchell@example.net,+1-883-456-5179,Midwest,4.67,
139,Kelly,Williams,"April 18th, 1992",M,smiles@example.net,(368)934-9604x7842,Southeast,2.25,
140,Alexander,Hoffman,1951-06-02,F,wthomas@example.net,001-536-248-8208x93486,Northeast,,
1,Nicole,Taylor,1962-01-20,M,wmendoza@example.net,399.516.0911x413,West,2.55,
142,Michael,Campos,"April 18th, 1992",M,yolandamarks@example.net,(313)837-6052x30458,West,2.53,
143,Martin,Greer,1945-12-15,F,michaelblanchard@example.com,824.819.1650x3440,West,,
144,Megan,Harrison,1994-11-04,M,vmosley@example.org,001-482-349-8980x88067,West,1.67,Preferred customer
145,Joseph,Ramos,1972-08-12,X,cobbmary@example.net,(566)848-6989,Southeast,2.26,
146,Heather,Dunn,1965-09-01,Other,,759-545-0119x29207,Northeast,4.46,
147,Heidi,James,1991-09-28,X,bellchad@example.org,(603)798-8636x53621,Southeast,1.78,
148,Nathan,Brown,1977-07-02,X,williamsbrooke@example.net,001-642-848-9420,West,3.61,
149,Yolanda,Fleming,1963-02-08,X,areynolds@example.org,964-620-4565x77580,Southwest,2.66,
150,Kayla,Oconnell,1957-07-19,F,,766-522-6540x165,Southeast,1.33,
151,Sara,Smith,"April 18th, 1992",M,lmartin@example.org,(824)427-6774,Midwest,1.13,
152,Kathryn,Austin,1971-01-05,X,garciagregory@example.net,215-284-8860,Midwest,1.67,
153,Daniel,Chapman,1971-06-01,Other,,912.499.5704,Southwest,3.2,
1,Virginia,Ortiz,1962-05-14,Other,daniellecoleman@example.org,001-812-203-8437x5365,Northeast,2.07,
155,Steven,Bell,2000-03-12,F,,(742)618-3854,West,4.29,
156,Brandon,Lowe,1973-09-02,X,kevin54@example.net,952.331.1232x748,Southwest,3.19,
157,Shannon,Santana,1971-07-22,M,,+1-227-320-3886x21750,Southeast,2.19,
158,Catherine,Hughes,1961-04-07,F,,5697358824,Midwest,2.39,
159,Melanie,Ibarra,"April 18th, 1992",F,hodgemichelle@example.net,001-418-616-7784x8165,Northeast,4.1,
160,Jonathan,Rangel,1968-12-03,M,jose08@example.org,+1-351-279-9378,West,,
161,Darlene,Curtis,"April 18th, 1992",Other,john91@example.org,+1-878-484-8699,Southwest,1.66,
1,Nicole,Duran,1985-03-19,M,torrestricia@example.com,001-527-214-7246,Southeast,4.22,
1,Lisa,Hensley,1985-03-03,F,lpage@example.com,(538)339-7283,West,2.12,
164,Edward,Rodriguez,1988-06-05,M,kjohnson@example.net,428.380.9832,Midwest,4.92,Preferred customer
1,Bradley,Wilson,1957-01-22,F,gregorysmith@example.org,001-986-876-6100x898,West,2.07,
166,David,Kelley,2000-02-12,X,jaime61@example.com,2389453198,Northeast,1.54,
167,Joshua,Logan,"April 18th, 1992",M,jamesparker@example.net,810-903-0762x05459,Midwest,4.47,
168,Mary,Rivera,2005-11-27,Other,grahamteresa@example.net,(264)911-0654x1134,Southeast,,
169,Amber,Garcia,1986-04-02,F,kelsey70@example.net,+1-805-883-6683x482,Southeast,,
170,Erik,Lawson,1997-11-16,F,riceamber@example.net,+1-789-217-8791,Southwest,,
171,Nathan,Garza,1956-10-02,F,,(409)832-0126x5789,Southwest,2.5,
172,Alexis,Levine,1982-02-11,Other,juareztina@example.net,(621)375-5851x777,Northeast,,
173,Emily,Taylor,1964-08-28,X,yguzman@example.org,488-824-1996,Midwest,2.82,
174,Joseph,Martin,1985-07-04,F,lcook@example.org,204.754.2185x457,West,,
175,Ryan,Wagner,1944-08-28,M,davidkane@example.com,6902016356,Southwest,,
176,Stephen,Lewis,1953-09-19,X,melanie72@example.net,(489)454-0017,Northeast,4.18,
177,Haley,Love,1960-10-26,X,taylorrobert@example.com,+1-350-371-0580,Southwest,4.3,
178,Autumn,Villegas,1986-01-01,F,meganblackwell@example.org,+1-215-226-1053x70923,Midwest,4.31,Preferred customer
179,Steven,Pacheco,1984-11-10,X,erin07@example.com,001-918-894-8543x298,West,1.52,
180,Brittany,Berry,2003-05-04,F,mcooper@example.com,371-561-9827x348,Northeast,,
181,Rachel,Swanson,"April 18th, 1992",F,scottbrandon@example.com,001-589-763-2174x35748,Northeast,1.5,
182,Monica,Hernandez,1980-07-10,X,sullivanjoshua@example.net,(606)473-9834x48838,Southwest,1.0,
183,Louis,Perez,2007-02-22,M,richard28@example.org,750-877-4065x79551,Southeast,4.53,Preferred customer
184,Erik,Cunningham,1994-01-31,M,wheeleramber@example.com,001-851-307-4091x31117,Midwest,1.37,Preferred customer
185,Carolyn,Parks,1954-02-23,F,linda76@example.org,+1-422-406-9535x41201,Northeast,,
186,Samuel,Edwards,1998-06-27,M,monica00@example.org,(201)951-5325x94795,Northeast,2.59,Preferred customer
187,Justin,Blanchard,1977-12-18,Other,,898.605.9503x100,Southeast,2.72,
188,Susan,Howell,1965-02-25,X,harrisphyllis@example.org,6453203608,Northeast,1.0,
1,Charles,Evans,1986-03-16,M,mosesveronica@example.com,+1-792-885-5359x520,Southeast,3.37,
190,Chad,Brown,1977-08-05,Other,schneiderraymond@example.com,+1-501-986-7740,Southwest,,
191,Vincent,Benson,1952-12-27,X,eileenhudson@example.com,295-530-0677x6255,Northeast,4.95,
192,Ethan,Bailey,"April 18th, 1992",Other,snydertricia@example.com,426-424-1784x290,Southeast,2.91,
193,Jeffery,Walker,1966-12-27,F,,001-806-605-3088,Northeast,3.92,
194,John,Hernandez,2005-11-25,M,davisphilip@example.org,(990)745-7598,Midwest,2.47,Preferred customer
195,Meredith,Valencia,"April 18th, 1992",M,brittneywatkins@example.com,426-303-3620x2755,Southwest,4.09,
1,Jonathan,Lucero,2005-01-08,Other,nealdavid@example.com,815-423-8023,Southeast,1.27,
197,Corey,Pope,1993-11-01,X,carlosmeadows@example.net,389-370-5916,West,3.6,
198,Wesley,Lewis,"April 18th, 1992",F,andrea19@example.com,001-277-721-6880,Southeast,3.51,
199,Sally,Mendoza,"April 18th, 1992",F,carloswerner@example.net,(289)372-8454,West,3.75,
200,Wendy,Taylor,1993-08-14,M,,+1-239-648-2322,Northeast,1.56,
